city_ascii,state_id,lat,lng
New York,NY,40.6943,-73.9249
Los Angeles,CA,34.1141,-118.4068
Chicago,IL,41.8375,-87.6866
Miami,FL,25.784,-80.2101
Houston,TX,29.786,-95.3885
Dallas,TX,32.7935,-96.7667
Philadelphia,PA,40.0077,-75.1339
Atlanta,GA,33.7628,-84.422
Washington,DC,38.9047,-77.0163
Boston,MA,42.3188,-71.0852
Phoenix,AZ,33.5722,-112.0892
Detroit,MI,42.3834,-83.1024
Seattle,WA,47.6211,-122.3244
San Francisco,CA,37.7558,-122.4449
San Diego,CA,32.8313,-117.1222
Minneapolis,MN,44.9635,-93.2678
Tampa,FL,27.9945,-82.4447
Brooklyn,NY,40.6501,-73.9496
Denver,CO,39.762,-104.8758
Queens,NY,40.7498,-73.7976
Riverside,CA,33.9381,-117.3949
Las Vegas,NV,36.2333,-115.2654
Baltimore,MD,39.3051,-76.6144
St. Louis,MO,38.6359,-90.2451
Portland,OR,45.5371,-122.65
San Antonio,TX,29.4632,-98.5238
Sacramento,CA,38.5677,-121.4685
Austin,TX,30.3005,-97.7522
Orlando,FL,28.4773,-81.337
San Juan,PR,18.3985,-66.061
San Jose,CA,37.3012,-121.848
Indianapolis,IN,39.7771,-86.1458
Pittsburgh,PA,40.4397,-79.9763
Cincinnati,OH,39.1413,-84.506
Manhattan,NY,40.7834,-73.9662
Kansas City,MO,39.1238,-94.5541
Cleveland,OH,41.4764,-81.6805
Columbus,OH,39.9862,-82.9855
Bronx,NY,40.8501,-73.8662
Charlotte,NC,35.2083,-80.8303
Virginia Beach,VA,36.7335,-76.0435
Jacksonville,FL,30.3322,-81.6749
Milwaukee,WI,43.0642,-87.9675
Providence,RI,41.823,-71.4187
Nashville,TN,36.1715,-86.7842
Salt Lake City,UT,40.7776,-111.9311
Raleigh,NC,35.8324,-78.6429
Richmond,VA,37.5295,-77.4756
Memphis,TN,35.1087,-89.9663
Oklahoma City,OK,35.4676,-97.5136
Hartford,CT,41.7661,-72.6834
Louisville,KY,38.1663,-85.6485
Buffalo,NY,42.9018,-78.8487
Fort Worth,TX,32.7817,-97.3474
Bridgeport,CT,41.1918,-73.1954
New Orleans,LA,30.0687,-89.9288
Tucson,AZ,32.1541,-110.8787
El Paso,TX,31.8476,-106.43
Omaha,NE,41.2627,-96.0529
McAllen,TX,26.2252,-98.2467
Birmingham,AL,33.5279,-86.7971
Albuquerque,NM,35.1054,-106.6465
Tulsa,OK,36.1283,-95.9042
Charleston,SC,32.8168,-79.9687
Fresno,CA,36.783,-119.7939
Rochester,NY,43.168,-77.6162
Dayton,OH,39.7805,-84.2003
Cape Coral,FL,26.6443,-81.9957
Provo,UT,40.2457,-111.6457
Colorado Springs,CO,38.8674,-104.7605
Mission Viejo,CA,33.6096,-117.6551
Allentown,PA,40.5961,-75.4756
Baton Rouge,LA,30.442,-91.1311
Ogden,UT,41.2279,-111.9682
Knoxville,TN,35.9692,-83.9496
Grand Rapids,MI,42.9619,-85.6562
Columbia,SC,34.0378,-80.9036
Albany,NY,42.6664,-73.7987
Bakersfield,CA,35.3529,-119.0359
New Haven,CT,41.3113,-72.9246
Des Moines,IA,41.5725,-93.6105
Palm Bay,FL,27.9631,-80.6593
Akron,OH,41.0798,-81.5219
Concord,CA,37.9722,-122.0016
Mesa,AZ,33.4015,-111.7178
Wichita,KS,37.6895,-97.3443
Harrisburg,PA,40.2752,-76.8843
Staten Island,NY,40.5834,-74.1496
Toledo,OH,41.6638,-83.5827
Worcester,MA,42.2705,-71.8079
Port St. Lucie,FL,27.2796,-80.3884
Little Rock,AR,34.7256,-92.3577
Madison,WI,43.0822,-89.393
Spokane,WA,47.6671,-117.433
Long Beach,CA,33.7977,-118.167
Denton,TX,33.2175,-97.1418
Reno,NV,39.5497,-119.8483
Boise,ID,43.6005,-116.2308
Bonita Springs,FL,26.3558,-81.7859
Kissimmee,FL,28.3041,-81.4169
Augusta,GA,33.3645,-82.0708
Springfield,MA,42.1155,-72.5395
Oakland,CA,37.7904,-122.2166
Winston-Salem,NC,36.1029,-80.261
Stockton,CA,37.9765,-121.3109
Durham,NC,35.9792,-78.9022
Chattanooga,TN,35.066,-85.2481
Greenville,SC,34.8354,-82.3646
Lancaster,PA,40.042,-76.3012
Syracuse,NY,43.0407,-76.1437
Fayetteville,AR,36.0714,-94.1661
Pensacola,FL,30.4413,-87.1911
Arlington,TX,32.6998,-97.125
Aurora,CO,39.7083,-104.7237
Scranton,PA,41.4044,-75.6649
Oxnard,CA,34.1964,-119.1815
Indio,CA,33.7346,-116.2346
Victorville,CA,34.5277,-117.3536
Trenton,NJ,40.2237,-74.7641
Huntsville,AL,34.6981,-86.6412
Modesto,CA,37.6375,-121.0028
Honolulu,HI,21.3294,-157.846
Greensboro,NC,36.0956,-79.8271
Fort Wayne,IN,41.0888,-85.1436
Anaheim,CA,33.839,-117.8574
Corpus Christi,TX,27.7254,-97.3767
Fort Collins,CO,40.5477,-105.0656
Antioch,CA,37.9787,-121.796
Jackson,MS,32.3157,-90.2125
Fayetteville,NC,35.085,-78.9772
Myrtle Beach,SC,33.7094,-78.8844
Henderson,NV,36.0133,-115.0381
Mobile,AL,30.6782,-88.1162
Lexington,KY,38.0423,-84.4587
Lansing,MI,42.7142,-84.5601
Savannah,GA,32.0286,-81.1821
Youngstown,OH,41.0993,-80.6463
Ann Arbor,MI,42.2759,-83.731
Santa Ana,CA,33.7367,-117.8819
Irvine,CA,33.6772,-117.7738
St. Paul,MN,44.9478,-93.1039
Poughkeepsie,NY,41.695,-73.9211
Newark,NJ,40.7245,-74.1725
Santa Rosa,CA,38.4458,-122.7067
Concord,NC,35.3933,-80.6369
Winter Haven,FL,28.0118,-81.7014
Asheville,NC,35.5707,-82.5537
Canton,OH,40.8078,-81.3676
Lincoln,NE,40.8099,-96.6784
Flint,MI,43.0236,-83.6921
Lakeland,FL,28.0557,-81.9545
Jersey City,NJ,40.7184,-74.0686
Anchorage,AK,61.1508,-149.1091
Springfield,MO,37.1943,-93.2916
Plano,TX,33.0502,-96.7486
Lubbock,TX,33.5657,-101.8879
Davenport,IA,41.5565,-90.6053
Reading,PA,40.34,-75.9267
Shreveport,LA,32.4653,-93.7955
Chandler,AZ,33.2825,-111.8514
South Bend,IN,41.6767,-86.2696
Wilmington,NC,34.2099,-77.8866
Chula Vista,CA,32.6281,-117.0144
Rockford,IL,42.2596,-89.064
Eugene,OR,44.0564,-123.1174
Salem,OR,44.9233,-123.0244
Gilbert,AZ,33.31,-111.7463
North Las Vegas,NV,36.2883,-115.0888
Santa Clarita,CA,34.4175,-118.4964
Peoria,IL,40.752,-89.6154
Tallahassee,FL,30.4551,-84.2527
Killeen,TX,31.0753,-97.7297
St. Petersburg,FL,27.7931,-82.6652
Kennewick,WA,46.1978,-119.1732
Columbus,GA,32.51,-84.8771
Laredo,TX,27.5625,-99.4874
Irving,TX,32.8583,-96.9702
Round Lake Beach,IL,42.3791,-88.0811
Montgomery,AL,32.3482,-86.2668
Chesapeake,VA,36.6778,-76.3023
Glendale,AZ,33.5791,-112.2311
Nashua,NH,42.7491,-71.491
York,PA,39.9651,-76.7315
Garland,TX,32.91,-96.6304
Rock Hill,SC,34.9415,-81.0241
Scottsdale,AZ,33.6872,-111.8651
Aguadilla,PR,18.4382,-67.1537
Arlington,VA,38.8786,-77.1011
Norfolk,VA,36.8945,-76.259
Appleton,WI,44.278,-88.3892
Enterprise,NV,36.0091,-115.2278
Gulfport,MS,30.4274,-89.0704
Lafayette,LA,30.2082,-92.0325
Bremerton,WA,47.5436,-122.7121
Fremont,CA,37.5265,-121.9843
Green Bay,WI,44.5148,-87.9895
Fargo,ND,46.8651,-96.8292
Deltona,FL,28.905,-81.2137
Brownsville,TX,25.9975,-97.458
Hialeah,FL,25.8696,-80.3045
San Bernardino,CA,34.1416,-117.2943
Tacoma,WA,47.2431,-122.4531
Gainesville,FL,29.6804,-82.3459
Spring Valley,NV,36.0952,-115.2636
Clarksville,TN,36.5692,-87.3413
College Station,TX,30.5852,-96.2959
Olympia,WA,47.0417,-122.8959
Roanoke,VA,37.2785,-79.9581
Portland,ME,43.6773,-70.2715
Fontana,CA,34.0968,-117.4599
Spartanburg,SC,34.9442,-81.9251
Moreno Valley,CA,33.9244,-117.2045
Frisco,TX,33.156,-96.8216
Yonkers,NY,40.9466,-73.8673
Thousand Oaks,CA,34.1914,-118.8756
Sioux Falls,SD,43.5396,-96.7311
Hagerstown,MD,39.6401,-77.7217
Evansville,IN,37.9881,-87.5341
Amarillo,TX,35.1984,-101.8316
Kalamazoo,MI,42.2749,-85.5882
Lorain,OH,41.4409,-82.184
Galveston,TX,29.2484,-94.8913
McKinney,TX,33.2016,-96.667
Huntington,WV,38.4109,-82.4345
Nampa,ID,43.5844,-116.5638
Hickory,NC,35.741,-81.3223
Waterbury,CT,41.5582,-73.0361
Sunrise Manor,NV,36.1783,-115.0487
Grand Prairie,TX,32.6871,-97.0208
Ocala,FL,29.178,-82.1511
Waco,TX,31.5599,-97.1882
Overland Park,KS,38.887,-94.687
Frederick,MD,39.4337,-77.4141
Huntington Beach,CA,33.696,-118.0018
Santa Barbara,CA,34.4285,-119.7202
Peoria,AZ,33.7843,-112.2989
Cedar Rapids,IA,41.9662,-91.6783
Vancouver,WA,45.6366,-122.5967
Glendale,CA,34.1819,-118.2468
Gastonia,NC,35.2494,-81.1854
Spring Hill,FL,28.4798,-82.53
